"","MI","Ischemic stroke","Death (all causes)","Transient ischemic attack (TIA)","Clinically relevant bleeding","SE","ICH"
"1969",1,2.862,1.31,1.371,0.318,0.1581,0.318
"1970",1,2.862,1.243,1.258,0.5557,1.482,0.5557
"1971",1,2.86,1.257,1.586,0.5176,0.03509,0.5176
"1972",1,2.864,1.294,1.483,0.5179,0.4863,0.5179
"1973",1,2.878,1.3,1.427,0.5242,0.3981,0.5242
"1974",1,2.851,1.2,1.452,0.5358,0.02814,0.5358
"1975",1,2.865,1.266,1.556,0.4977,0.3088,0.4977
"1976",1,2.861,1.263,1.601,0.3936,1.161,0.3936
"1977",1,2.858,1.271,1.531,0.4222,4.29,0.4222
"1978",1,2.861,1.335,1.402,0.426,0.5071,0.426
"1979",1,2.867,1.332,1.159,0.455,6.241,0.455
"1980",1,2.861,1.354,1.334,0.3904,0.9332,0.3904
"1981",1,2.856,1.258,1.14,0.3208,4.814,0.3208
"1982",1,2.86,1.264,1.346,0.512,18.47,0.512
"1983",1,2.867,1.208,1.238,0.3146,6.956,0.3146
"1984",1,2.857,1.299,1.178,0.3737,4.228,0.3737
"1985",1,2.853,1.238,1.148,0.2887,3.322,0.2887
"1986",1,2.858,1.215,1.116,0.22,1.001,0.22
"1987",1,2.858,1.212,1.174,0.4065,3.057,0.4065
"1988",1,2.849,1.258,1.135,0.3218,1.064,0.3218
"1989",1,2.854,1.277,1.073,0.339,4.545,0.339
"1990",1,2.86,1.344,1.159,0.3492,2.693,0.3492
"1991",1,2.864,1.293,1.127,0.3827,0.4216,0.3827
"1992",1,2.862,1.27,1.088,0.4462,0.6028,0.4462
"1993",1,2.864,1.172,1.164,0.3952,0.568,0.3952
"1994",1,2.862,1.252,1.495,0.6115,1.08,0.6115
"1995",1,2.854,1.254,1.136,0.5638,2.527,0.5638
"1996",1,2.862,1.209,1.148,0.4972,0.783,0.4972
"1997",1,2.861,1.164,1.223,0.3403,1.798,0.3403
"1998",1,2.861,1.177,1.151,0.35,0.2214,0.35
"1999",1,2.866,1.072,1.058,0.382,2.013,0.382
"2000",1,2.868,1.371,0.8148,0.4282,1.455,0.4282
"2001",1,2.869,1.152,1.156,0.4062,0.6609,0.4062
"2002",1,2.867,1.142,1.309,0.3957,5.318,0.3957
"2003",1,2.864,1.353,1.214,0.3843,0.673,0.3843
"2004",1,2.866,1.307,1.166,0.4595,0.3279,0.4595
"2005",1,2.873,1.285,0.984,0.4809,3.246,0.4809
"2006",1,2.866,1.461,1.126,0.6879,2.028,0.6879
"2007",1,2.865,1.196,1.936,0.417,3.655,0.417
"2008",1,2.869,1.364,1.19,0.4465,2.709,0.4465
"2009",1,2.87,1.263,1.276,0.527,0.08751,0.527
"2010",1,2.874,1.265,2.014,0.5453,0.3458,0.5453
"2011",1,2.876,1.413,0.3742,0.5876,0.4873,0.5876
"2012",1,2.869,1.811,0.185,0.6252,1.011,0.6252
"2013",1,2.86,1.734,0.6556,0.9119,0.7828,0.9119
"2014",1,2.882,1.863,0.2188,0.2322,0.5582,0.2322
"2015",1,2.862,1.408,0.7738,0.2347,2.845,0.2347
"2016",1,2.862,1.065,1.45,0.07368,5.039,0.07368
"2017",1,2.852,1.625,0.323,0.3844,0.7365,0.3844
"2018",1,2.861,1.617,0.7148,1.588,1.322,1.588
"2019",1,2.862,1.551,1.311,1.18,0.5391,1.18
"2020",1,2.866,2.196,1.124,1.163,0.1446,1.163
"2021",1,2.87,1.253,2.724,0.4193,1.957,0.4193
"2022",1,2.877,2.183,1.639,0.704,0.01543,0.704
"2023",1,2.863,2.824,1.128,0.5213,47.24,0.5213
"2024",1,2.865,1.899,0.4752,0.3827,2.127,0.3827
"2025",1,2.873,2.201,0.5398,0.2909,0.2696,0.2909
"2026",1,2.874,2.328,0.8664,0.4317,124.7,0.4317
"2027",1,2.872,1.883,1.16,0.4116,0.9622,0.4116
"2028",1,2.87,2.459,1.355,0.3883,0.1009,0.3883
"2029",1,2.868,2.048,0.6868,0.4176,1.121,0.4176
"2030",1,2.865,2.038,2.031,0.3858,0.4287,0.3858
"2031",1,2.868,2.488,0.9424,0.4551,0.2383,0.4551
"2032",1,2.865,1.969,1.155,0.4307,0.3521,0.4307
"2033",1,2.87,1.886,0.8017,0.4356,0.2734,0.4356
"2034",1,2.866,2.132,2.302,0.4155,19.75,0.4155
"2035",1,2.865,2.565,0.9376,0.478,0.1626,0.478
"2036",1,2.866,1.555,2.592,0.4483,0.2501,0.4483
"2037",1,2.871,4.379,1.499,0.452,0.738,0.452
"2038",1,2.868,2.569,2.634,0.4511,4.13,0.4511
"2039",1,2.871,0.9696,2.116,0.4065,0.03379,0.4065
"2040",1,2.855,1.821,1.927,0.3904,0.07164,0.3904
"2041",1,2.848,2.126,1.879,0.3847,0.1043,0.3847
"2042",1,2.863,4.89,0.6234,0.3472,0.6749,0.3472
"2043",1,2.875,1.228,1.539,0.3898,0.0104,0.3898
"2044",1,2.856,0.7785,0.5673,0.3427,0.237,0.3427
"2045",1,2.875,0.6971,1.142,0.353,0.1005,0.353
"2046",1,2.865,1.414,1.776,0.3952,0.1027,0.3952
"2047",1,2.866,2.744,1.014,0.3736,0.1567,0.3736
"2048",1,2.861,115.9,1.47,0.3964,0.1137,0.3964
"2049",1,2.858,0.0571,1.362,0.3901,0.4672,0.3901
"2050",1,2.875,2.514,2.236,0.5372,2.02,0.5372
"2051",1,2.841,0.1097,2.802,0.4414,0.2934,0.4414
"2052",1,2.875,9.778,3.505,0.3711,1.631,0.3711
"2053",1,2.858,2.611,5.45,0.3278,1.3,0.3278
"2054",1,2.883,2.216,7.926,0.3749,2.658,0.3749
"2055",1,2.873,1.624,6.453,0.4061,0.2058,0.4061
"2056",1,2.886,0.9386,3.742,0.4275,0.8773,0.4275
"2057",1,2.882,1.651,4.433,0.4486,2.137,0.4486
"2058",1,2.884,0.9087,1.66,0.4213,0.6078,0.4213
"2059",1,2.882,2.131,1.897,0.5453,0.1724,0.5453
"2060",1,2.871,1.791,6.962,0.3925,0.9929,0.3925
"2061",1,2.889,1.101,3.343,0.4238,0.07129,0.4238
"2062",1,2.874,1.682,1.236,0.5259,0.2758,0.5259
"2063",1,2.878,1.638,1.379,0.51,0.03478,0.51
"2064",1,2.864,1.582,1.033,0.3582,0.8763,0.3582
"2065",1,2.897,1.805,3.108,0.5571,0.6286,0.5571
"2066",1,2.886,1.577,0.598,0.4315,1.06,0.4315
"2067",1,2.878,1.439,1.586,0.5475,2.043,0.5475
"2068",1,2.888,1.227,0.8307,0.4674,1.376,0.4674
"2069",1,2.891,1.195,1.106,0.4079,1.539,0.4079
"2070",1,2.895,1.906,1.034,0.4376,1.288,0.4376
"2071",1,2.883,1.222,2.4,0.3643,1.28,0.3643
"2072",1,2.922,1.495,1.084,0.5531,1.339,0.5531
"2073",1,2.905,1.819,2.402,0.4975,1.449,0.4975
